date,type,number
9/10,Ha: ExtremelyHappy,256
9/10,Wu: ExtremelySad,21
9/10,PositiveEmojis,30
9/10,NegativeEmojis,17
9/10,?: QuestionMark,17
9/11,Ha: ExtremelyHappy,464
9/11,Wu: ExtremelySad,25
9/11,PositiveEmojis,24
9/11,NegativeEmojis,47
9/11,?: QuestionMark,73
9/12,Ha: ExtremelyHappy,391
9/12,Wu: ExtremelySad,43
9/12,PositiveEmojis,45
9/12,NegativeEmojis,24
9/12,?: QuestionMark,30
9/13,Ha: ExtremelyHappy,294
9/13,Wu: ExtremelySad,169
9/13,PositiveEmojis,54
9/13,NegativeEmojis,17
9/13,?: QuestionMark,11
9/14,Ha: ExtremelyHappy,155
9/14,Wu: ExtremelySad,75
9/14,PositiveEmojis,10
9/14,NegativeEmojis,10
9/14,?: QuestionMark,5
9/15,Ha: ExtremelyHappy,233
9/15,Wu: ExtremelySad,66
9/15,PositiveEmojis,37
9/15,NegativeEmojis,47
9/15,?: QuestionMark,15
9/16,Ha: ExtremelyHappy,178
9/16,Wu: ExtremelySad,14
9/16,PositiveEmojis,16
9/16,NegativeEmojis,25
9/16,?: QuestionMark,15
9/17,Ha: ExtremelyHappy,220
9/17,Wu: ExtremelySad,9
9/17,PositiveEmojis,23
9/17,NegativeEmojis,30
9/17,?: QuestionMark,12
9/18,Ha: ExtremelyHappy,245
9/18,Wu: ExtremelySad,30
9/18,PositiveEmojis,17
9/18,NegativeEmojis,23
9/18,?: QuestionMark,7
9/19,Ha: ExtremelyHappy,331
9/19,Wu: ExtremelySad,22
9/19,PositiveEmojis,12
9/19,NegativeEmojis,18
9/19,?: QuestionMark,13
9/20,Ha: ExtremelyHappy,199
9/20,Wu: ExtremelySad,9
9/20,PositiveEmojis,40
9/20,NegativeEmojis,26
9/20,?: QuestionMark,28
9/21,Ha: ExtremelyHappy,280
9/21,Wu: ExtremelySad,24
9/21,PositiveEmojis,15
9/21,NegativeEmojis,16
9/21,?: QuestionMark,6
9/22,Ha: ExtremelyHappy,278
9/22,Wu: ExtremelySad,18
9/22,PositiveEmojis,28
9/22,NegativeEmojis,23
9/22,?: QuestionMark,14
9/23,Ha: ExtremelyHappy,300
9/23,Wu: ExtremelySad,16
9/23,PositiveEmojis,28
9/23,NegativeEmojis,21
9/23,?: QuestionMark,14
9/24,Ha: ExtremelyHappy,223
9/24,Wu: ExtremelySad,22
9/24,PositiveEmojis,31
9/24,NegativeEmojis,10
9/24,?: QuestionMark,25
9/25,Ha: ExtremelyHappy,267
9/25,Wu: ExtremelySad,25
9/25,PositiveEmojis,35
9/25,NegativeEmojis,21
9/25,?: QuestionMark,21
9/26,Ha: ExtremelyHappy,189
9/26,Wu: ExtremelySad,46
9/26,PositiveEmojis,26
9/26,NegativeEmojis,18
9/26,?: QuestionMark,33
9/27,Ha: ExtremelyHappy,213
9/27,Wu: ExtremelySad,39
9/27,PositiveEmojis,29
9/27,NegativeEmojis,15
9/27,?: QuestionMark,12
9/28,Ha: ExtremelyHappy,324
9/28,Wu: ExtremelySad,30
9/28,PositiveEmojis,32
9/28,NegativeEmojis,20
9/28,?: QuestionMark,5
9/29,Ha: ExtremelyHappy,188
9/29,Wu: ExtremelySad,0
9/29,PositiveEmojis,35
9/29,NegativeEmojis,17
9/29,?: QuestionMark,12
9/30,Ha: ExtremelyHappy,174
9/30,Wu: ExtremelySad,0
9/30,PositiveEmojis,32
9/30,NegativeEmojis,30
9/30,?: QuestionMark,16
10/1,Ha: ExtremelyHappy,155
10/1,Wu: ExtremelySad,0
10/1,PositiveEmojis,22
10/1,NegativeEmojis,21
10/1,?: QuestionMark,7
10/2,Ha: ExtremelyHappy,342
10/2,Wu: ExtremelySad,12
10/2,PositiveEmojis,27
10/2,NegativeEmojis,14
10/2,?: QuestionMark,22
10/3,Ha: ExtremelyHappy,186
10/3,Wu: ExtremelySad,22
10/3,PositiveEmojis,21
10/3,NegativeEmojis,12
10/3,?: QuestionMark,28
